"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-17.97936,27.70533,,,,
"CEPSA L-D: 07:00-22:00 0,740 e","CEPSA L-D: 07:00-22:00 0,740 e",-18.01194,27.75194,,,,
"CEPSA L-D: 07:00-22:00 0,740 e","CEPSA L-D: 07:00-22:00 0,740 e",-17.91422,27.81167,,,,
"GC-500 Carretera Del General El Pajar","GC-500 Carretera Del General El Pajar",-15.56795,27.76475,,,,
"Gc-812","Gc-812",-15.75524,27.82999,,,,
"CEPSA MOGAN L-D: 06:00-22:00 0,760 e","CEPSA MOGAN L-D: 06:00-22:00 0,760 e",-15.75533,27.83014,,,,
"Gc-1 Autovía Las Palmas-Puerto Rico","Gc-1 Autovía Las Palmas-Puerto Rico",-15.41651,27.87346,,,,
"Ctra. sin nombre","Ctra. sin nombre",-15.42690,27.87702,,,,
"Gc-520","Gc-520",-15.56335,27.88581,,,,
"CEPSA FATAGA L-D: 07:00-22:30 0,752 e","CEPSA FATAGA L-D: 07:00-22:30 0,752 e",-15.56336,27.88600,,,,
"CEPSA AGUIMES L-D: 06:30-22:30 0,740 e","CEPSA AGUIMES L-D: 06:30-22:30 0,740 e",-15.44481,27.90406,,,,
"CEPSA L-D: 24H 0,739 e","CEPSA L-D: 24H 0,739 e",-15.39897,27.91722,,,,
"Ctra. sin nombre","Ctra. sin nombre",-15.39021,27.93959,,,,
"CEPSA L-D: 24H 0,739 e","CEPSA L-D: 24H 0,739 e",-15.38997,27.94072,,,,
"CEPSA CARRIZAL L-D: 06:00-23:00 0,746 e","CEPSA CARRIZAL L-D: 06:00-23:00 0,746 e",-15.40761,27.90969,,,,
"CEPSA L: 06:30-22:00 0,820 e","CEPSA L: 06:30-22:00 0,820 e",-15.54897,27.91525,,,,
"CEPSA CUATRO PUERTAS L-D: 24H 0,745 e","CEPSA CUATRO PUERTAS L-D: 24H 0,745 e",-15.40481,27.96078,,,,
"GC-1 Autovía Las Palmas-Puerto Rico","GC-1 Autovía Las Palmas-Puerto Rico",-15.39056,27.96793,,,,
"CEPSA CRUCE MELENARA L-D: 24H 0,745 e","CEPSA CRUCE MELENARA L-D: 24H 0,745 e",-15.39356,27.99433,,,,
"CEPSA Horario Especial 0,737 e","CEPSA Horario Especial 0,737 e",-15.79497,27.98903,,,,
"CEPSA TEJEDA Horario Especial 0,746 e","CEPSA TEJEDA Horario Especial 0,746 e",-15.61475,27.99128,,,,
"GC-811 Carretera Del General C 811","GC-811 Carretera Del General C 811",-15.61428,27.99132,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-15.70039,28.10406,,,,
"CEPSA EL PUNTO FIELATO L-D: 24H 0,745 e","CEPSA EL PUNTO FIELATO L-D: 24H 0,745 e",-15.42386,27.99178,,,,
"CEPSA VALSEQUILLO L-D: 06:00-00:00 0,761 e","CEPSA VALSEQUILLO L-D: 06:00-00:00 0,761 e",-15.49542,27.99181,,,,
"CEPSA JINAMAR L-D: 24H 0,737 e","CEPSA JINAMAR L-D: 24H 0,737 e",-15.41350,28.03414,,,,
"CEPSA SANTA BRIGIDA Horario Especial 0,734 e","CEPSA SANTA BRIGIDA Horario Especial 0,734 e",-15.47519,28.04469,,,,
"CEPSA L-D: 24H 0,740 e","CEPSA L-D: 24H 0,740 e",-15.45981,28.09047,,,,
"CEPSA L-D: 24H 0,727 e","CEPSA L-D: 24H 0,727 e",-15.41533,28.09622,,,,
"CEPSA EL DRAGON Horario Especial 0,740 e","CEPSA EL DRAGON Horario Especial 0,740 e",-15.43539,28.10131,,,,
"CEPSA L-D: 24H 0,727 e","CEPSA L-D: 24H 0,727 e",-15.43725,28.10203,,,,
"CEPSA AVENIDA 1o MAYO Horario Especial 0,737 e","CEPSA AVENIDA 1o MAYO Horario Especial 0,737 e",-15.41750,28.10236,,,,
"CEPSA CAPITOL Horario Especial 0,740 e","CEPSA CAPITOL Horario Especial 0,740 e",-15.42089,28.10878,,,,
"CEPSA MERCEDES Horario Especial 0,740 e","CEPSA MERCEDES Horario Especial 0,740 e",-15.43989,28.11064,,,,
"CEPSA ESCALERITAS L-D: 06:00-22:00 0,740 e","CEPSA ESCALERITAS L-D: 06:00-22:00 0,740 e",-15.43686,28.11608,,,,
"CEPSA JUAN XXIII L-D: 24H 0,740 e","CEPSA JUAN XXIII L-D: 24H 0,740 e",-15.42967,28.11817,,,,
"CEPSA L-D: 24H 0,735 e","CEPSA L-D: 24H 0,735 e",-15.44122,28.12333,,,,
"CEPSA CHIL L-D: 24H 0,740 e","CEPSA CHIL L-D: 24H 0,740 e",-15.43503,28.13256,,,,
"Calle Del Presidente Alvear","Calle Del Presidente Alvear",-15.43030,28.13580,,,,
"CEPSA ESCORIAL L-D: 24H 0,740 e","CEPSA ESCORIAL L-D: 24H 0,740 e",-15.43078,28.14203,,,,
"CEPSA BANADEROS L-D: 06:00-22:00 0,732 e","CEPSA BANADEROS L-D: 06:00-22:00 0,732 e",-15.53314,28.14667,,,,
"CEPSA LOS CRISTIANOS L-D: 07:00-23:00 0,740 e","CEPSA LOS CRISTIANOS L-D: 07:00-23:00 0,740 e",-16.71539,28.05281,,,,
"CEPSA L-D: 24H 0,740 e","CEPSA L-D: 24H 0,740 e",-16.69212,28.06133,,,,
"CEPSA L-D: 06:00-22:00 0,736 e","CEPSA L-D: 06:00-22:00 0,736 e",-16.68786,28.07569,,,,
"CEPSA L-D: 09:00-14:00 y 16:00-18:00 0,748 e","CEPSA L-D: 09:00-14:00 y 16:00-18:00 0,748 e",-16.73789,28.07933,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.64017,28.15303,,,,
"CEPSA L-D: 06:00-23:00 0,740 e","CEPSA L-D: 06:00-23:00 0,740 e",-16.82225,28.19386,,,,
"TF-47","TF-47",-16.82292,28.19453,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.78794,28.22469,,,,
"TF-82 Avenida Del Coronel Gorrín","TF-82 Avenida Del Coronel Gorrín",-16.81834,28.27015,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-17.33561,28.09450,,,,
"CEPSA L-D: 08:00-19:00 0,740 e","CEPSA L-D: 08:00-19:00 0,740 e",-17.27771,28.10678,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-17.18865,28.17231,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-17.26497,28.17903,,,,
"CEPSA L-D: 24H 0,740 e","CEPSA L-D: 24H 0,740 e",-16.43328,28.16908,,,,
"CEPSA Horario Especial 0,716 e","CEPSA Horario Especial 0,716 e",-16.48003,28.18253,,,,
"CEPSA L-D: 06:00-22:00 0,728 e","CEPSA L-D: 06:00-22:00 0,728 e",-16.42331,28.21350,,,,
"CEPSA Horario Especial 0,716 e","CEPSA Horario Especial 0,716 e",-16.43958,28.23642,,,,
"CEPSA L-D: 06:00-00:00 0,740 e","CEPSA L-D: 06:00-00:00 0,740 e",-16.37193,28.35683,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.81558,28.29383,,,,
"TF-82","TF-82",-16.81547,28.29406,,,,
"TF-42 Avenida De Los Moralitos","TF-42 Avenida De Los Moralitos",-16.82000,28.36567,,,,
"TF-42","TF-42",-16.84749,28.36972,,,,
"CEPSA BUENAVISTA Horario Especial 0,740 e","CEPSA BUENAVISTA Horario Especial 0,740 e",-16.84825,28.36989,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.61897,28.37911,,,,
"CEPSA LOS BARROS L-D: 24H 0,727 e","CEPSA LOS BARROS L-D: 24H 0,727 e",-16.58217,28.39008,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.55833,28.39483,,,,
"CEPSA L-D: 08:00-21:00 0,740 e","CEPSA L-D: 08:00-21:00 0,740 e",-16.67217,28.39022,,,,
"CEPSA LA AZADILLA L-D: 24H 0,727 e","CEPSA LA AZADILLA L-D: 24H 0,727 e",-16.59006,28.37364,,,,
"CEPSA L-D: 24H 0,734 e","CEPSA L-D: 24H 0,734 e",-16.51986,28.39436,,,,
"TF-21","TF-21",-16.51995,28.39511,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.52233,28.39833,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.54833,28.41439,,,,
"CEPSA EL BOHIO L-D: 24H 0,740 e","CEPSA EL BOHIO L-D: 24H 0,740 e",-16.46047,28.44953,,,,
"Ctra. sin nombre","Ctra. sin nombre",-16.54834,28.41518,,,,
"CEPSA L-D: 24H 0,741 e","CEPSA L-D: 24H 0,741 e",-16.32022,28.41933,,,,
"CEPSA LA MATANZA L-D: 06:00-22:00 0,740 e","CEPSA LA MATANZA L-D: 06:00-22:00 0,740 e",-16.45056,28.45664,,,,
