"CRED VECINDARIO","CRED VECINDARIO",-15.44226,27.84098,,,,
"BEMIR CANARIAS SL","BEMIR CANARIAS SL",-15.42656,27.87519,,,,
"CRED LAS HUESAS","CRED LAS HUESAS",-15.39264,27.98391,,,,
"E.S. EL CARACOL","E.S. EL CARACOL",-15.41529,27.99230,,,,
"CRED TELDE","CRED TELDE",-15.39415,28.00694,,,,
"CRED LA MARETA","CRED LA MARETA",-15.38742,28.00760,,,,
"TENEJOMA,S.L.","TENEJOMA,S.L.",-16.67101,28.01131,,,,
"E.S. CRED HOYOS BLANCOS","E.S. CRED HOYOS BLANCOS",-16.53177,28.07269,,,,
"E.S. CRED CHASNERA","E.S. CRED CHASNERA",-16.53244,28.07428,,,,
"E.S. CRED EL RAMONAL","E.S. CRED EL RAMONAL",-16.60973,28.08385,,,,
"CRED ADEJE","CRED ADEJE",-16.76762,28.13279,,,,
"E.S. AINOTEN S.L.","E.S. AINOTEN S.L.",-16.50481,28.15950,,,,
"E.S. SAN LORENZO","E.S. SAN LORENZO",-15.46646,28.08317,,,,
"INVERSIONES SOSALA,S.L.","INVERSIONES SOSALA,S.L.",-15.53990,28.08640,,,,
"SERVIPARK PEÑATE S.L","SERVIPARK PEÑATE S.L",-15.47062,28.09446,,,,
"E.S. EL PALMITAL","E.S. EL PALMITAL",-15.59421,28.10129,,,,
"CRED LA BALLENA","CRED LA BALLENA",-15.44273,28.10423,,,,
"E.S. LLANO ALEGRE","E.S. LLANO ALEGRE",-15.62275,28.14427,,,,
"E.S.PUERTO DE LA LUZ","E.S.PUERTO DE LA LUZ",-15.41711,28.14670,,,,
"Solred","Solred",-16.46591,28.12841,,,,
"CRED ABADES","CRED ABADES",-16.46211,28.12990,,,,
"Solred","Solred",-16.41744,28.21966,,,,
"CRED FASNIA","CRED FASNIA",-16.41343,28.22340,,,,
"E.S. REPSOL VOLCAN DE ARAFO","E.S. REPSOL VOLCAN DE ARAFO",-16.39473,28.33374,,,,
"E.S. PALO BLANCO","E.S. PALO BLANCO",-16.57638,28.36468,,,,
"Solred. TF-21","Solred. TF-21",-16.51278,28.37802,,,,
"E.S. ISIS","E.S. ISIS",-16.54404,28.37887,,,,
"E.S. BARROSO","E.S. BARROSO",-16.50981,28.37915,,,,
"E.S. FARRAIS PEREZ, S.L.","E.S. FARRAIS PEREZ, S.L.",-16.58344,28.37939,,,,
"CRED AÑAZA","CRED AÑAZA",-16.30248,28.42600,,,,
"E.S. SANTA URSULA","E.S. SANTA URSULA",-16.48863,28.42600,,,,
"E.S. GENETO","E.S. GENETO",-16.31689,28.45608,,,,
"Tf-375","Tf-375",-16.44147,28.46359,,,,
"Tf-375 Autopista Del Norte","Tf-375 Autopista Del Norte",-16.35506,28.49056,,,,
"E.S. LOS RODEOS","E.S. LOS RODEOS",-16.35517,28.49131,,,,
"CRED LAS CHUMBERAS","CRED LAS CHUMBERAS",-16.30463,28.46463,,,,
"E.S. AREA DE SERVICIO IBEL,S.L.","E.S. AREA DE SERVICIO IBEL,S.L.",-16.43274,28.46771,,,,
